Date,OP_Price
2024-02-16,3.867377284
2024-02-17,3.650673861
2024-02-18,3.576965204
2024-02-19,3.777753001
2024-02-20,3.951157091
2024-02-21,4.063307964
2024-02-22,3.771731315
2024-02-23,3.644267334
2024-02-24,3.51942635
2024-02-25,3.6650979
2024-02-26,3.864923819
2024-02-27,3.829616076
2024-02-28,3.703246522
2024-02-29,3.774729854
2024-03-01,3.699411377
2024-03-02,3.754071997
2024-03-03,3.980137615
2024-03-04,3.990007312
2024-03-05,3.914492497
2024-03-06,4.502744022
2024-03-07,4.559656437
2024-03-08,4.68449709
2024-03-09,4.48922901
2024-03-10,4.693959002
2024-03-11,4.54339894
2024-03-12,4.58718621
2024-03-13,4.357473832
2024-03-14,4.41399442
2024-03-15,4.196476084
2024-03-16,3.808343237
2024-03-17,3.527472622
2024-03-18,3.587859489
2024-03-19,3.30524554
2024-03-20,3.436203857
2024-03-21,3.54196452
2024-03-22,3.427665796
2024-03-23,3.405531653
2024-03-24,3.453235686
2024-03-25,3.711107754
2024-03-26,3.861102214
2024-03-27,3.927881064
2024-03-28,3.669739154
2024-03-29,3.719177487
2024-03-30,3.617216618
2024-03-31,3.657127291
2024-04-01,3.686884382
2024-04-02,3.502049324
2024-04-03,3.161947314
2024-04-04,3.06239314
2024-04-05,3.101063032
2024-04-06,2.875937769
2024-04-07,2.994132914
2024-04-08,3.191026643
2024-04-09,3.362432461
2024-04-10,3.04243431
2024-04-11,3.034785289
2024-04-12,2.941884596
2024-04-13,2.457328475
2024-04-14,2.125318061
2024-04-15,2.326894074
2024-04-16,2.270392666
2024-04-17,2.241486723
2024-04-18,2.165361879
2024-04-19,2.222994496
2024-04-20,2.24034616
2024-04-21,2.504240033
2024-04-22,2.440354588
2024-04-23,2.55017882
2024-04-24,2.491558135
2024-04-25,2.420774551
2024-04-26,2.418575725
2024-04-27,2.330972336
2024-04-28,2.630201337
2024-04-29,2.631013385
2024-04-30,2.494813445
2024-05-01,2.537149946
2024-05-02,2.82620653
2024-05-03,2.882920163
2024-05-04,2.860929667
2024-05-05,2.882105339
2024-05-06,2.89751667
2024-05-07,2.771407995
2024-05-08,2.679018118
2024-05-09,2.586532737
2024-05-10,2.659195246
2024-05-11,2.51792342
2024-05-12,2.530531209
2024-05-13,2.526775642
2024-05-14,2.492736229
2024-05-15,2.39523807
2024-05-16,2.481296434
2024-05-17,2.366777259
2024-05-18,2.570853758
2024-05-19,2.548328439
2024-05-20,2.452372286
2024-05-21,2.895695081
2024-05-22,2.831254911
2024-05-23,2.665326222
2024-05-24,2.615132052
2024-05-25,2.523969921
2024-05-26,2.551381588
2024-05-27,2.535915334
2024-05-28,2.590052197
2024-05-29,2.547180772
2024-05-30,2.48750714
2024-05-31,2.477507062
2024-06-01,2.462690197
2024-06-02,2.473002472
2024-06-03,2.383757048
2024-06-04,2.401529556
2024-06-05,2.47989814
2024-06-06,2.52640403
2024-06-07,2.483457795
2024-06-08,2.259592679
2024-06-09,2.170780792
2024-06-10,2.230616823
2024-06-11,2.188061516
2024-06-12,2.057073459
2024-06-13,2.146502881
2024-06-14,2.011133043
2024-06-15,2.000586494
2024-06-16,2.098939653
2024-06-17,2.09503989
2024-06-18,1.936534086
2024-06-19,1.82817393
2024-06-20,1.905430482
2024-06-21,1.832776687
2024-06-22,1.811292025
2024-06-23,1.789773645
2024-06-24,1.705139564
2024-06-25,1.769602128
2024-06-26,1.761874036
2024-06-27,1.782286861
2024-06-28,1.79569138
2024-06-29,1.749764983
2024-06-30,1.736292274
2024-07-01,1.799708115
2024-07-02,1.751483975
2024-07-03,1.766634974
2024-07-04,1.636279956
2024-07-05,1.442459646
2024-07-06,1.330445084
2024-07-07,1.485723196
2024-07-08,1.379671858
2024-07-09,1.479781084
2024-07-10,1.620700269
2024-07-11,1.677178321
2024-07-12,1.660650218
2024-07-13,1.709146584
2024-07-14,1.688477628
2024-07-15,1.800231348
2024-07-16,1.853953911
2024-07-17,1.791484501
2024-07-18,1.80654957
2024-07-19,1.824387956
2024-07-20,1.955103536
2024-07-21,1.929408625
2024-07-22,1.970351268
2024-07-23,1.875381384
2024-07-24,1.876668483
2024-07-25,1.736796895
2024-07-26,1.693770284
2024-07-27,1.736460379
2024-07-28,1.751741339
2024-07-29,1.702772206
2024-07-30,1.674088107
2024-07-31,1.627403705
2024-08-01,1.584204585
2024-08-02,1.572085738
2024-08-03,1.460644893
2024-08-04,1.424648898
2024-08-05,1.328733062
2024-08-06,1.173473555
2024-08-07,1.273264806
2024-08-08,1.19769701
2024-08-09,1.419129767
2024-08-10,1.411258241
2024-08-11,1.427156782
2024-08-12,1.310842596
2024-08-13,1.381474685
2024-08-14,1.366397943
2024-08-15,1.327948679
2024-08-16,1.251763562
2024-08-17,1.281310224
2024-08-18,1.339755761
2024-08-19,1.333959739
2024-08-20,1.37055308
2024-08-21,1.352539397
2024-08-22,1.443250495
2024-08-23,1.511882967
2024-08-24,1.612390937
2024-08-25,1.604250081
2024-08-26,1.547119562
2024-08-27,1.486645471
2024-08-28,1.374062937
2024-08-29,1.426705765
2024-08-30,1.424602373
2024-08-31,1.470435986
2024-09-01,1.418479188
2024-09-02,1.357262956
2024-09-03,1.407069231
2024-09-04,1.348429972
2024-09-05,1.347486649
2024-09-06,1.357058523
2024-09-07,1.337616818
2024-09-08,1.414388378
2024-09-09,1.417887837
2024-09-10,1.531059505
2024-09-11,1.614968072
2024-09-12,1.548528023
2024-09-13,1.537702257
2024-09-14,1.552297244
2024-09-15,1.567717194
2024-09-16,1.47595109
2024-09-17,1.452005508
2024-09-18,1.450521128
2024-09-19,1.504376306
2024-09-20,1.609350198
2024-09-21,1.667528473
2024-09-22,1.765818796
2024-09-23,1.692553414
2024-09-24,1.6954854
2024-09-25,1.733338063
2024-09-26,1.684137555
2024-09-27,1.74614737
2024-09-28,1.902782256
2024-09-29,1.881272254
2024-09-30,1.899990612
2024-10-01,1.749725088
2024-10-02,1.664965206
2024-10-03,1.584175386
2024-10-04,1.517111645
2024-10-05,1.607679006
2024-10-06,1.593625446
2024-10-07,1.679829988
2024-10-08,1.663115346
2024-10-09,1.634392235
2024-10-10,1.528713871
2024-10-11,1.550651338
2024-10-12,1.691515108
2024-10-13,1.714967103
2024-10-14,1.702023311
2024-10-15,1.776427146
2024-10-16,1.728167035
2024-10-17,1.747600177
2024-10-18,1.670694757
2024-10-19,1.719667657
2024-10-20,1.693443488
2024-10-21,1.804387191
2024-10-22,1.717927574
2024-10-23,1.698908509
2024-10-24,1.722373961
2024-10-25,1.708374925
2024-10-26,1.555158569
2024-10-27,1.561401336
2024-10-28,1.593403678
2024-10-29,1.616630608
2024-10-30,1.702204498
2024-10-31,1.720776911
2024-11-01,1.607186291
2024-11-02,1.52363493
2024-11-03,1.453196572
2024-11-04,1.435110538
2024-11-05,1.342328181
2024-11-06,1.414788971
2024-11-07,1.600804349
2024-11-08,1.60091114
2024-11-09,1.579144025
2024-11-10,1.646541087
2024-11-11,1.64628086
2024-11-12,1.806095429
2024-11-13,1.679710029
2024-11-14,1.620978274
2024-11-15,1.508528458
2024-11-16,1.584889511
2024-11-17,1.77014251
2024-11-18,1.673385143
2024-11-19,1.827066495
2024-11-20,1.761250935
2024-11-21,1.65529845
2024-11-22,2.09191255
2024-11-23,2.200621673
2024-11-24,2.206665164
2024-11-25,2.208298387
2024-11-26,2.306790429
2024-11-27,2.200223049
2024-11-28,2.484551491
2024-11-29,2.362091818
2024-11-30,2.385789125
